
=== Strategy Vanity Finder (0x47...ea91e) ===

Factory: 0xaa28020dda6b954d16208eccf873d79ac6533833
Init Code Hash: 0x70edd96c806f7a3d0715e4f818ea64f06c5ae6b33cdf0d2257398e956bf0f1cb
Pattern: 0x47...ea91e

Searching with 28 CPU cores...

  Attempts: 31500000 | Rate: 25938962/s | Time: 1.2s
  Attempts: 31600000 | Rate: 25936049/s | Time: 1.2s
  Attempts: 31700000 | Rate: 25933492/s | Time: 1.2s
  Attempts: 31800000 | Rate: 25927341/s | Time: 1.2s
  Attempts: 31900000 | Rate: 25920702/s | Time: 1.2s
  Attempts: 32000000 | Rate: 25918489/s | Time: 1.2s
  Attempts: 32100000 | Rate: 25917379/s | Time: 1.2s
  Attempts: 32200000 | Rate: 25916229/s | Time: 1.2s
  Attempts: 32300000 | Rate: 25915769/s | Time: 1.2s
  Attempts: 32400000 | Rate: 25915784/s | Time: 1.3s
  Attempts: 32500000 | Rate: 25915086/s | Time: 1.3s
  Attempts: 32600000 | Rate: 25910752/s | Time: 1.3s
  Attempts: 32700000 | Rate: 25906090/s | Time: 1.3s
  Attempts: 32800000 | Rate: 25904996/s | Time: 1.3s
  Attempts: 32900000 | Rate: 25904289/s | Time: 1.3s
  Attempts: 33000000 | Rate: 25902832/s | Time: 1.3s
  Attempts: 33100000 | Rate: 25902071/s | Time: 1.3s
  Attempts: 33200000 | Rate: 25900763/s | Time: 1.3s
  Attempts: 33300000 | Rate: 25897219/s | Time: 1.3s
  Attempts: 33400000 | Rate: 25894485/s | Time: 1.3s
  Attempts: 33500000 | Rate: 25891419/s | Time: 1.3s
  Attempts: 33600000 | Rate: 25885589/s | Time: 1.3s
  Attempts: 33700000 | Rate: 25882533/s | Time: 1.3s
  Attempts: 33800000 | Rate: 25879252/s | Time: 1.3s
  Attempts: 33900000 | Rate: 25874930/s | Time: 1.3s
  Attempts: 34000000 | Rate: 25873148/s | Time: 1.3s
  Attempts: 34100000 | Rate: 25870794/s | Time: 1.3s
  Attempts: 34200000 | Rate: 25867575/s | Time: 1.3s
  Attempts: 34300000 | Rate: 25864686/s | Time: 1.3s
  Attempts: 34400000 | Rate: 25860841/s | Time: 1.3s
  Attempts: 34500000 | Rate: 25855897/s | Time: 1.3s
  Attempts: 34600000 | Rate: 25855199/s | Time: 1.3s
  Attempts: 34700000 | Rate: 25852333/s | Time: 1.3s
  Attempts: 34800000 | Rate: 25851445/s | Time: 1.3s
  Attempts: 34900000 | Rate: 25852559/s | Time: 1.3s
  Attempts: 35000000 | Rate: 25853468/s | Time: 1.4s
  Attempts: 35100000 | Rate: 25853448/s | Time: 1.4s
  Attempts: 35200000 | Rate: 25853833/s | Time: 1.4s
  Attempts: 35300000 | Rate: 25853837/s | Time: 1.4s
  Attempts: 35400000 | Rate: 25852345/s | Time: 1.4s
  Attempts: 35500000 | Rate: 25850672/s | Time: 1.4s
  Attempts: 35600000 | Rate: 25848785/s | Time: 1.4s
  Attempts: 35700000 | Rate: 25847192/s | Time: 1.4s
  Attempts: 35800000 | Rate: 25847228/s | Time: 1.4s
  Attempts: 35900000 | Rate: 25848513/s | Time: 1.4s
  Attempts: 36000000 | Rate: 25848421/s | Time: 1.4s
  Attempts: 36100000 | Rate: 25848580/s | Time: 1.4s
  Attempts: 36200000 | Rate: 25848912/s | Time: 1.4s
  Attempts: 36300000 | Rate: 25846688/s | Time: 1.4s
  Attempts: 36400000 | Rate: 25845042/s | Time: 1.4s
  Attempts: 36500000 | Rate: 25845246/s | Time: 1.4s
  Attempts: 36600000 | Rate: 25844254/s | Time: 1.4s
  Attempts: 36700000 | Rate: 25845329/s | Time: 1.4s
  Attempts: 36800000 | Rate: 25844675/s | Time: 1.4s
  Attempts: 36900000 | Rate: 25844802/s | Time: 1.4s
  Attempts: 37000000 | Rate: 25845660/s | Time: 1.4s
  Attempts: 37100000 | Rate: 25846160/s | Time: 1.4s
  Attempts: 37200000 | Rate: 25842459/s | Time: 1.4s
  Attempts: 37300000 | Rate: 25842152/s | Time: 1.4s
  Attempts: 37400000 | Rate: 25842050/s | Time: 1.4s
  Attempts: 37500000 | Rate: 25841062/s | Time: 1.5s
  Attempts: 37600000 | Rate: 25841272/s | Time: 1.5s
  Attempts: 37700000 | Rate: 25841070/s | Time: 1.5s
